,Ontology Term,Preferred Name,odds ratio,exact p-value,adj p-value,Reference Genes,User/Study Genes
132,TO_0000278,root to shoot ratio,1.5693621967373845,0.006621009222550064,0.015731119656585114,884,43
133,TO_0000249,leaf senescence trait,1.2825682818814914,0.009286633662274012,0.021809729419038616,3101,124
134,TO_0006060,leaf chlorosis,1.4841953544086246,0.009317447694842447,0.021809729419038616,1106,51
135,TO_0000952,stem weight,2.262018636610806,0.009869715340402534,0.022932573879170595,189,13
136,TO_0000173,ethylene sensitivity,0.6999039578307871,0.01079259165329799,0.024740967122751995,2265,51
137,TO_0000421,pollen fertility,0.5031203080509613,0.010804599566265113,0.024740967122751995,800,13
138,TO_0002643,carbon isotope discrimination,0.13744232036914963,0.011629770226207273,0.026438902096989198,223,1
139,TO_0000258,leaf thickness,1.7142378541064818,0.012054968882033317,0.027209786905160915,472,25
140,TO_0000078,root dry weight,1.450180498915206,0.014539418407632477,0.03258479586391392,1086,49
141,TO_0000115,root mass density,1.2936979832420368,0.015682104900538365,0.03489820527162059,2527,102
142,TO_0006046,sulfur content,0.3673848949787212,0.01659020562822797,0.0366608739756646,420,5
143,TO_0002634,fruit firmness,3.0597557666214383,0.018148878341953216,0.03982670525039734,66,6
144,TO_0000576,stem length,1.6370109250632983,0.020172406921695973,0.04396193508452364,493,25
